"","ROI","contrast","subject","PS"
"403","V12_BL","dseq scon no sub","sub14",0.1399
"404","V12_BL","dseq dcon no sub","sub14",0.14095
"405","V12_BL","dstart send same context no sub","sub14",0.12739
"406","V12_BL","dstart send diff context no sub","sub14",0.13496
"407","V12_BL","sstart dend same context no sub","sub14",0.1358
"408","V12_BL","sstart dend diff context no sub","sub14",0.15353
"409","V12_BL","dstart dend same context no sub","sub14",0.14473
"410","V12_BL","dstart dend diff context no sub","sub14",0.13903
"411","V12_BL","same mov scon no sub","sub14",0.13838
"412","V12_BL","same mov dcon no sub","sub14",0.11231
"413","V12_BL","share mov scon no sub","sub14",0.19774
"414","V12_BL","share mov dcon no sub","sub14",0.13469
"415","V12_BL","no share mov scon no sub","sub14",0.13622
"416","V12_BL","no share mov dcon no sub","sub14",0.14262
"417","BA4ap","sseq scon no sub","sub14",0.028769
"418","BA4ap","sseq dcon no sub","sub14",0.014543
"419","BA4ap","dseq scon no sub","sub14",0.024611
"420","BA4ap","dseq dcon no sub","sub14",0.041805
"421","BA4ap","dstart send same context no sub","sub14",0.003221
"422","BA4ap","dstart send diff context no sub","sub14",0.040321
"423","BA4ap","sstart dend same context no sub","sub14",0.026993
"424","BA4ap","sstart dend diff context no sub","sub14",0.05705
"425","BA4ap","dstart dend same context no sub","sub14",0.030085
"426","BA4ap","dstart dend diff context no sub","sub14",0.037807
"427","BA4ap","same mov scon no sub","sub14",0.028769
"428","BA4ap","same mov dcon no sub","sub14",0.013332
"429","BA4ap","share mov scon no sub","sub14",0.072355
"430","BA4ap","share mov dcon no sub","sub14",-2.66e-05
"431","BA4ap","no share mov scon no sub","sub14",0.021548
"432","BA4ap","no share mov dcon no sub","sub14",0.04469
"433","HIPP_MERGE_BL","sseq scon no sub","sub15",0.025058
"434","HIPP_MERGE_BL","sseq dcon no sub","sub15",0.0027493
"435","HIPP_MERGE_BL","dseq scon no sub","sub15",0.013102
"436","HIPP_MERGE_BL","dseq dcon no sub","sub15",0.014098
"437","HIPP_MERGE_BL","dstart send same context no sub","sub15",0.012308
"438","HIPP_MERGE_BL","dstart send diff context no sub","sub15",0.0034067
"439","HIPP_MERGE_BL","sstart dend same context no sub","sub15",0.011617
"440","HIPP_MERGE_BL","sstart dend diff context no sub","sub15",0.039458
"441","HIPP_MERGE_BL","dstart dend same context no sub","sub15",0.013757
"442","HIPP_MERGE_BL","dstart dend diff context no sub","sub15",0.010393
"443","HIPP_MERGE_BL","same mov scon no sub","sub15",0.025058
"444","HIPP_MERGE_BL","same mov dcon no sub","sub15",0.012221
"445","HIPP_MERGE_BL","share mov scon no sub","sub15",0.01283
"446","HIPP_MERGE_BL","share mov dcon no sub","sub15",0.0059704
"447","HIPP_MERGE_BL","no share mov scon no sub","sub15",0.01312
"448","HIPP_MERGE_BL","no share mov dcon no sub","sub15",0.01374
"449","V12_BL","sseq scon no sub","sub15",0.38982
"450","V12_BL","sseq dcon no sub","sub15",0.35995
"451","V12_BL","dseq scon no sub","sub15",0.35506
